ImageID,ImageURL,accuracy,label
776b6da9-545c-4d52-ae93-7f5b106a2b8d,s3://dic-2024s/776b6da9-545c-4d52-ae93-7f5b106a2b8d,0.5392357,car
0b694738-ef9d-4a77-a1cf-4a979cfac203,s3://dic-2024s/0b694738-ef9d-4a77-a1cf-4a979cfac203,,
a11e86bf-f1bd-4706-a193-2e3215d76c6c,s3://dic-2024s/a11e86bf-f1bd-4706-a193-2e3215d76c6c,0.80482584,cow
759636cd-31bc-48fa-84e0-0bfd9e17cf38,s3://dic-2024s/759636cd-31bc-48fa-84e0-0bfd9e17cf38,0.5154353,zebra
759636cd-31bc-48fa-84e0-0bfd9e17cf38,s3://dic-2024s/759636cd-31bc-48fa-84e0-0bfd9e17cf38,0.85723186,zebra
759636cd-31bc-48fa-84e0-0bfd9e17cf38,s3://dic-2024s/759636cd-31bc-48fa-84e0-0bfd9e17cf38,0.7059577,zebra
293d7e19-64f5-46bb-8491-14789ec0d950,s3://dic-2024s/293d7e19-64f5-46bb-8491-14789ec0d950,0.88419265,elephant
293d7e19-64f5-46bb-8491-14789ec0d950,s3://dic-2024s/293d7e19-64f5-46bb-8491-14789ec0d950,0.9559026,elephant
57c7e68f-a9ae-4952-b5ae-8c788133bf56,s3://dic-2024s/57c7e68f-a9ae-4952-b5ae-8c788133bf56,0.60608995,tennis racket
57c7e68f-a9ae-4952-b5ae-8c788133bf56,s3://dic-2024s/57c7e68f-a9ae-4952-b5ae-8c788133bf56,0.9681402,sports ball
5207d148-14e6-4089-9995-a05e2fad612c,s3://dic-2024s/5207d148-14e6-4089-9995-a05e2fad612c,0.58496296,refrigerator
5207d148-14e6-4089-9995-a05e2fad612c,s3://dic-2024s/5207d148-14e6-4089-9995-a05e2fad612c,0.7101946,sink
5207d148-14e6-4089-9995-a05e2fad612c,s3://dic-2024s/5207d148-14e6-4089-9995-a05e2fad612c,0.656889,oven
5207d148-14e6-4089-9995-a05e2fad612c,s3://dic-2024s/5207d148-14e6-4089-9995-a05e2fad612c,0.76474065,oven
5207d148-14e6-4089-9995-a05e2fad612c,s3://dic-2024s/5207d148-14e6-4089-9995-a05e2fad612c,0.55648977,microwave
5207d148-14e6-4089-9995-a05e2fad612c,s3://dic-2024s/5207d148-14e6-4089-9995-a05e2fad612c,0.63749975,microwave
5207d148-14e6-4089-9995-a05e2fad612c,s3://dic-2024s/5207d148-14e6-4089-9995-a05e2fad612c,0.6911782,oven
cc120944-cc2f-4d80-a4e4-e7ffb1ca64de,s3://dic-2024s/cc120944-cc2f-4d80-a4e4-e7ffb1ca64de,,
b8ff2162-7b43-4794-8693-00ca99e02672,s3://dic-2024s/b8ff2162-7b43-4794-8693-00ca99e02672,0.6127992,kite
b8ff2162-7b43-4794-8693-00ca99e02672,s3://dic-2024s/b8ff2162-7b43-4794-8693-00ca99e02672,0.6215582,kite
9c54e40b-365a-4dee-bb85-3502c58ab5eb,s3://dic-2024s/9c54e40b-365a-4dee-bb85-3502c58ab5eb,,
deac2d59-8341-44ca-ba69-5ff2c16fe7b3,s3://dic-2024s/deac2d59-8341-44ca-ba69-5ff2c16fe7b3,0.7389258,fire hydrant
deac2d59-8341-44ca-ba69-5ff2c16fe7b3,s3://dic-2024s/deac2d59-8341-44ca-ba69-5ff2c16fe7b3,0.952557,fire hydrant
deac2d59-8341-44ca-ba69-5ff2c16fe7b3,s3://dic-2024s/deac2d59-8341-44ca-ba69-5ff2c16fe7b3,0.78761816,fire hydrant
deac2d59-8341-44ca-ba69-5ff2c16fe7b3,s3://dic-2024s/deac2d59-8341-44ca-ba69-5ff2c16fe7b3,0.9159075,fire hydrant
1e261ce5-9e33-4a18-95a7-9207ee5fb899,s3://dic-2024s/1e261ce5-9e33-4a18-95a7-9207ee5fb899,0.69456315,person
1e261ce5-9e33-4a18-95a7-9207ee5fb899,s3://dic-2024s/1e261ce5-9e33-4a18-95a7-9207ee5fb899,0.9276289,person
1e261ce5-9e33-4a18-95a7-9207ee5fb899,s3://dic-2024s/1e261ce5-9e33-4a18-95a7-9207ee5fb899,0.8658716,person
1e261ce5-9e33-4a18-95a7-9207ee5fb899,s3://dic-2024s/1e261ce5-9e33-4a18-95a7-9207ee5fb899,0.9984083,person
1e261ce5-9e33-4a18-95a7-9207ee5fb899,s3://dic-2024s/1e261ce5-9e33-4a18-95a7-9207ee5fb899,0.8738571,person
6a31bc6a-e04f-4919-bc1d-a00d35749117,s3://dic-2024s/6a31bc6a-e04f-4919-bc1d-a00d35749117,0.5115311,tie
5a248278-e197-4395-8aba-7d2f25311bb6,s3://dic-2024s/5a248278-e197-4395-8aba-7d2f25311bb6,,
6945b150-6049-4a66-9a29-3749539e4174,s3://dic-2024s/6945b150-6049-4a66-9a29-3749539e4174,,
4ff78d29-730f-46a1-a0df-ff0d0e82bf63,s3://dic-2024s/4ff78d29-730f-46a1-a0df-ff0d0e82bf63,,
6a84d2a7-6c15-4376-8507-6404cf288033,s3://dic-2024s/6a84d2a7-6c15-4376-8507-6404cf288033,0.8936342,stop sign
6a84d2a7-6c15-4376-8507-6404cf288033,s3://dic-2024s/6a84d2a7-6c15-4376-8507-6404cf288033,0.92137057,stop sign
6a84d2a7-6c15-4376-8507-6404cf288033,s3://dic-2024s/6a84d2a7-6c15-4376-8507-6404cf288033,0.69737536,car
62eb1b6a-b675-4a47-b5c4-26c79eb5366e,s3://dic-2024s/62eb1b6a-b675-4a47-b5c4-26c79eb5366e,0.56361127,fork
2e4dbac2-b324-4e93-888f-34cae9a1b0ea,s3://dic-2024s/2e4dbac2-b324-4e93-888f-34cae9a1b0ea,0.63135386,person
2e4dbac2-b324-4e93-888f-34cae9a1b0ea,s3://dic-2024s/2e4dbac2-b324-4e93-888f-34cae9a1b0ea,0.6839998,person
2e4dbac2-b324-4e93-888f-34cae9a1b0ea,s3://dic-2024s/2e4dbac2-b324-4e93-888f-34cae9a1b0ea,0.90824646,person
1e8dee08-68c8-4551-8ee7-4bf1cb67e851,s3://dic-2024s/1e8dee08-68c8-4551-8ee7-4bf1cb67e851,0.81981754,person
1e8dee08-68c8-4551-8ee7-4bf1cb67e851,s3://dic-2024s/1e8dee08-68c8-4551-8ee7-4bf1cb67e851,0.62919664,sports ball
360fcbb9-5f7b-460e-a043-ef19d3c4f960,s3://dic-2024s/360fcbb9-5f7b-460e-a043-ef19d3c4f960,,
27cb4bf5-5045-4e54-ae07-c3665eb3e0fa,s3://dic-2024s/27cb4bf5-5045-4e54-ae07-c3665eb3e0fa,0.7569429,person
27cb4bf5-5045-4e54-ae07-c3665eb3e0fa,s3://dic-2024s/27cb4bf5-5045-4e54-ae07-c3665eb3e0fa,0.56672066,person
27cb4bf5-5045-4e54-ae07-c3665eb3e0fa,s3://dic-2024s/27cb4bf5-5045-4e54-ae07-c3665eb3e0fa,0.5045345,pottedplant
18540a86-bc2a-4cae-b62a-72cb63d08d52,s3://dic-2024s/18540a86-bc2a-4cae-b62a-72cb63d08d52,0.83842903,person
aafa9fa9-0c56-4bf2-88e4-1e8575edf7c2,s3://dic-2024s/aafa9fa9-0c56-4bf2-88e4-1e8575edf7c2,,
7e94e0fa-1467-4030-a6b9-0bc22b57080b,s3://dic-2024s/7e94e0fa-1467-4030-a6b9-0bc22b57080b,,
9e863489-e194-4795-9970-ac90c2138fb6,s3://dic-2024s/9e863489-e194-4795-9970-ac90c2138fb6,0.5723805,carrot
22192ea6-b690-4077-bb65-96d618ca26eb,s3://dic-2024s/22192ea6-b690-4077-bb65-96d618ca26eb,,
4e261e33-c9aa-4b51-aa1b-f455f927537b,s3://dic-2024s/4e261e33-c9aa-4b51-aa1b-f455f927537b,0.8369681,person
171b7090-442c-4e47-833f-98c5dff90328,s3://dic-2024s/171b7090-442c-4e47-833f-98c5dff90328,0.84418863,person
171b7090-442c-4e47-833f-98c5dff90328,s3://dic-2024s/171b7090-442c-4e47-833f-98c5dff90328,0.67084,person
171b7090-442c-4e47-833f-98c5dff90328,s3://dic-2024s/171b7090-442c-4e47-833f-98c5dff90328,0.86280465,person
171b7090-442c-4e47-833f-98c5dff90328,s3://dic-2024s/171b7090-442c-4e47-833f-98c5dff90328,0.6237394,bowl
171b7090-442c-4e47-833f-98c5dff90328,s3://dic-2024s/171b7090-442c-4e47-833f-98c5dff90328,0.742229,cup
b8556974-b4fd-4ca8-8d5f-b27a612bdfa1,s3://dic-2024s/b8556974-b4fd-4ca8-8d5f-b27a612bdfa1,0.53345984,person
b8556974-b4fd-4ca8-8d5f-b27a612bdfa1,s3://dic-2024s/b8556974-b4fd-4ca8-8d5f-b27a612bdfa1,0.661548,cat
c042c4be-3740-4e7d-88a3-39f8ca368e40,s3://dic-2024s/c042c4be-3740-4e7d-88a3-39f8ca368e40,,
8ded63eb-e44e-42d4-889d-39a60ee79a95,s3://dic-2024s/8ded63eb-e44e-42d4-889d-39a60ee79a95,0.6317388,person
8ded63eb-e44e-42d4-889d-39a60ee79a95,s3://dic-2024s/8ded63eb-e44e-42d4-889d-39a60ee79a95,0.7133162,wine glass
8ded63eb-e44e-42d4-889d-39a60ee79a95,s3://dic-2024s/8ded63eb-e44e-42d4-889d-39a60ee79a95,0.5744619,wine glass
67922c8f-2b75-4a6a-92a9-c3e75eaf2c97,s3://dic-2024s/67922c8f-2b75-4a6a-92a9-c3e75eaf2c97,,
cf1e48dc-b28a-430f-bfb7-c31f410cd993,s3://dic-2024s/cf1e48dc-b28a-430f-bfb7-c31f410cd993,0.8302895,bus
900c6c84-c8fc-49ef-9dcd-3cc48c3812fe,s3://dic-2024s/900c6c84-c8fc-49ef-9dcd-3cc48c3812fe,,
3ad0a060-7ca5-449d-abd5-67913a0fece4,s3://dic-2024s/3ad0a060-7ca5-449d-abd5-67913a0fece4,0.928452,zebra
24c1b3f2-1ca2-40d4-9cc8-6245ded06de3,s3://dic-2024s/24c1b3f2-1ca2-40d4-9cc8-6245ded06de3,0.83739823,person
24c1b3f2-1ca2-40d4-9cc8-6245ded06de3,s3://dic-2024s/24c1b3f2-1ca2-40d4-9cc8-6245ded06de3,0.5805989,tennis racket
98f95433-957e-4bd5-ac87-b831460917ee,s3://dic-2024s/98f95433-957e-4bd5-ac87-b831460917ee,,
b6afc765-9b24-45b5-8b17-7eb85764c0ef,s3://dic-2024s/b6afc765-9b24-45b5-8b17-7eb85764c0ef,0.69518256,cell phone
0559a982-3c2e-4ef9-92ed-19def50dae05,s3://dic-2024s/0559a982-3c2e-4ef9-92ed-19def50dae05,,
19d451f5-5cc1-419d-97ef-6d23e2fbada6,s3://dic-2024s/19d451f5-5cc1-419d-97ef-6d23e2fbada6,0.75632447,giraffe
19d451f5-5cc1-419d-97ef-6d23e2fbada6,s3://dic-2024s/19d451f5-5cc1-419d-97ef-6d23e2fbada6,0.96778864,giraffe
19d451f5-5cc1-419d-97ef-6d23e2fbada6,s3://dic-2024s/19d451f5-5cc1-419d-97ef-6d23e2fbada6,0.62687796,giraffe
19d451f5-5cc1-419d-97ef-6d23e2fbada6,s3://dic-2024s/19d451f5-5cc1-419d-97ef-6d23e2fbada6,0.6294237,giraffe
19d451f5-5cc1-419d-97ef-6d23e2fbada6,s3://dic-2024s/19d451f5-5cc1-419d-97ef-6d23e2fbada6,0.64703166,giraffe
4496231d-ee05-4844-b4da-61523a8afc6f,s3://dic-2024s/4496231d-ee05-4844-b4da-61523a8afc6f,0.76844573,person
4496231d-ee05-4844-b4da-61523a8afc6f,s3://dic-2024s/4496231d-ee05-4844-b4da-61523a8afc6f,0.67107105,person
18ba81e7-bed6-4252-a9d2-0565d53398d0,s3://dic-2024s/18ba81e7-bed6-4252-a9d2-0565d53398d0,0.5943017,laptop
18ba81e7-bed6-4252-a9d2-0565d53398d0,s3://dic-2024s/18ba81e7-bed6-4252-a9d2-0565d53398d0,0.9521036,laptop
18ba81e7-bed6-4252-a9d2-0565d53398d0,s3://dic-2024s/18ba81e7-bed6-4252-a9d2-0565d53398d0,0.83912945,tvmonitor
18ba81e7-bed6-4252-a9d2-0565d53398d0,s3://dic-2024s/18ba81e7-bed6-4252-a9d2-0565d53398d0,0.94576323,laptop
18ba81e7-bed6-4252-a9d2-0565d53398d0,s3://dic-2024s/18ba81e7-bed6-4252-a9d2-0565d53398d0,0.89794165,laptop
18ba81e7-bed6-4252-a9d2-0565d53398d0,s3://dic-2024s/18ba81e7-bed6-4252-a9d2-0565d53398d0,0.79878616,tvmonitor
18ba81e7-bed6-4252-a9d2-0565d53398d0,s3://dic-2024s/18ba81e7-bed6-4252-a9d2-0565d53398d0,0.73823565,keyboard
18ba81e7-bed6-4252-a9d2-0565d53398d0,s3://dic-2024s/18ba81e7-bed6-4252-a9d2-0565d53398d0,0.7134349,mouse
460cacf3-fa9c-48d9-88d0-58ddde7c27dc,s3://dic-2024s/460cacf3-fa9c-48d9-88d0-58ddde7c27dc,0.83203346,motorbike
2add4508-3389-4193-9d56-3274a7a57cdf,s3://dic-2024s/2add4508-3389-4193-9d56-3274a7a57cdf,,
e5c7a9d9-4a4e-45ad-adf5-44704167116b,s3://dic-2024s/e5c7a9d9-4a4e-45ad-adf5-44704167116b,,
5536cf5a-7332-47e8-a8b4-1497ad404f16,s3://dic-2024s/5536cf5a-7332-47e8-a8b4-1497ad404f16,0.5262921,bottle
5536cf5a-7332-47e8-a8b4-1497ad404f16,s3://dic-2024s/5536cf5a-7332-47e8-a8b4-1497ad404f16,0.8457478,wine glass
5536cf5a-7332-47e8-a8b4-1497ad404f16,s3://dic-2024s/5536cf5a-7332-47e8-a8b4-1497ad404f16,0.62665856,pizza
